SizeBucket,Metric,CI_95_Improvement_High,CI_95_Improvement_High,CI_95_Improvement_High,CI_95_Improvement_High,CI_95_Improvement_Low,CI_95_Improvement_Low,CI_95_Improvement_Low,CI_95_Improvement_Low
,,EFFRES,IVI,NNSI,PBR,EFFRES,IVI,NNSI,PBR
Small,ASPL,25.06701897377,24.005281838563,19.25083456704413,28.61249169840152,17.171912360438963,16.292654921308348,14.285842246381426,21.62221365536533
Small,ASPLVariance,73.7779648211044,68.73004093506465,54.28867914574225,75.53996797732374,56.12300283346164,48.42475286543656,38.406847581719774,60.47228768237532
Small,ArticulationPoints,82.2959689107712,76.98047655835103,60.43903327546785,42.23199758205342,66.38556782688431,58.12456952638379,31.09333615883486,15.596784087852333
Small,Assortativity,-0.8348316676264922,-3.426272635480087,-14.028210591721725,9.184174467635572,-17.303435712765395,-27.634116746655245,-38.4738740331811,-10.511053244671995
Small,AttackCurveAUC,47.390642132098854,32.50488271707022,29.135421903740493,14.28020680000401,33.593402110893415,14.455653964668135,15.912236954661026,0.9529311263714311
Small,AvgClustering,37.60058198632978,367028194.1225457,613962909.7343152,708034196.6501906,-18.08615552552093,-142006193.3537543,-237547378.34565008,-273944302.3583672
Small,AvgNodeConn,63.17274975858537,44.66074036276258,39.786717470683854,21.176509726504943,47.23326205122406,26.625487332834997,19.365226255513676,4.818816819945564
Small,BetCentralization,37.73775159919013,19.379678255324592,20.16163662892914,-16.77562067661561,29.795212795609544,-5.020333149179401,-0.910452790515528,-35.99686407997395
Small,Bridges,80.6343821912933,77.0965993397239,61.19629030685843,40.10886847934161,68.06360094384823,56.81563277448487,39.660712367041285,23.338553282029363
Small,Diameter,40.34390181299749,33.176827308111456,27.412702089442824,40.432141625194376,30.176139600496796,22.415941411930415,17.603963576138824,32.8435405882792
Small,EdgeConn,59.80369078648464,55.34841409066213,47.70481216891277,16.170020751180694,26.38678458913897,25.508728016072567,25.342806203445534,-1.5033542200695793
Small,EffResistance,55.85786163374643,50.821870839180185,45.40576539502369,44.532734946012646,45.98307944860927,39.935856346265346,33.13973299177145,33.065861839250154
Small,Efficiency,15.459361391879263,15.661641864684047,13.688385133170796,19.52454680388868,11.991455194199915,11.985706378189118,10.941322879534704,15.62424749223488
Small,GCC_10%,66.33147025578714,46.706914569689644,35.09553697369796,15.966335782257747,39.40586265118088,20.677827755163904,18.86960971133658,2.106101413767548
Small,GCC_5%,27.929908916513625,22.268247615368885,20.01838332936518,13.89191387948808,13.051928970821479,6.064246870463663,7.813617713941523,-0.047444200150023264
Small,NatConnectivity,17.535538329492454,38.01962711371714,42.89720982318829,61.054681660252115,13.166046134039554,24.45891362532428,30.327503005339647,47.147166953514215
Small,RobustnessCoeff,31.877715775399853,19.991029988788483,21.890696159329945,5.311286805814204,24.713689319624063,10.711743469207782,13.659930015240423,0.3165379296827955
Small,SpectralGap,117.47555799797888,84.83260729448088,66.80117335035985,96.5759777448316,55.88104781344981,40.46343016605005,18.54858947192508,50.93498677970764
Small,Transitivity,26.94392818622615,212296745.90021554,480756323.0473528,583034572.4091582,-23.904393551714715,-82139331.95771638,-186008655.19804665,-225580966.79332656
Small,λ₂,117.47555799797888,84.83260729448088,66.80117335035985,96.5759777448316,55.88104781344981,40.46343016605005,18.54858947192508,50.93498677970764
Small,λ₂_λₙ_Ratio,119.98784326893761,94.02931032914485,75.22685480281157,108.11413391196184,60.31983296457017,47.135206076911416,25.334320734737794,60.94102111004453
